Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Chivilcoy en alerta por Emanación de gas tóxico,"Grave emanación de gas tóxico ocurrió en las inmediaciones de Chivilcoy, Buenos Aires. El incidente generando caos en el transporte público y privado. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Emanación de gas tóxico,-34.914536,-60.035774,07/06/2022
Descarrilamiento de tren causa estragos en Puerto Iguazú,"Grave descarrilamiento de tren ocurrió en las inmediaciones de Puerto Iguazú, Misiones. El incidente provocando cortes de energía y problemas en el suministro de agua. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Descarrilamiento de tren,-25.575639,-54.543917,21/04/2013
Fallo en vuelo deja múltiples daños en Belén,"Grave fallo en vuelo ocurrió en las inmediaciones de Belén, Catamarca. El incidente con un saldo inicial de varias personas heridas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Fallo en vuelo,-27.691883,-67.052886,15/05/2010
"Apagón por tormenta deja múltiples daños en Mar del Plata, Buenos Aires","Autoridades confirmaron un apagón por tormenta en Mar del Plata, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Apagón por tormenta,-37.988737,-57.545168,16/09/2024
"Evacuaciones por Escape de gas en Godoy Cruz, Mendoza","Grave escape de gas ocurrió en las inmediaciones de Godoy Cruz, Mendoza. El incidente obligando a evacuar a residentes de la zona. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Escape de gas,-32.906132,-68.874518,17/11/2016
Se reporta Pérdida de gas con evacuación en zona de Villa Dolores,"Autoridades confirmaron un pérdida de gas con evacuación en Villa Dolores, Córdoba. El incidente obligando a evacuar a residentes de la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Pérdida de gas con evacuación,-31.940322,-65.18937,08/04/2019
Colisión frontal genera crisis en Chivilcoy,"Grave colisión frontal ocurrió en las inmediaciones de Chivilcoy, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Colisión frontal,-34.944636,-59.982504,24/05/2004
"Autoridades responden a Incidente en fábrica en Pico Truncado, Santa Cruz","Grave incidente en fábrica ocurrió en las inmediaciones de Pico Truncado, Santa Cruz. El incidente generando serios daños ambientales en la región. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incidente en fábrica,-46.83602,-67.93958,04/07/2008
"Evacuaciones por Accidente con transporte público en Gualeguay, Entre Ríos","Autoridades confirmaron un accidente con transporte público en Gualeguay, Entre Ríos. El incidente dejando un rastro de destrucción importante. Equipos de rescate continúan buscando posibles víctimas.",Accidente con transporte público,-33.164954,-59.274578,09/08/2007
San Francisco sufre las consecuencias de Siniestro vial fatal,"Un grave siniestro vial fatal se registró en San Francisco, Córdoba. El incidente dejando a la población incomunicada por varias horas. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Siniestro vial fatal,-31.385636,-62.09374,02/04/2010
